# References to 010339a0
007a7a60 READ FUN_007a7a48
007a7a84 READ FUN_007a7a48
007a7d98 READ FUN_007a7d88
007a7dea WRITE FUN_007a7d88
0076827e WRITE FUN_00767f5c
0064c9f4 READ FUN_0064b17c
00767a36 READ FUN_0076758c
006e22e6 READ FUN_006db640
006e2346 READ FUN_006db640
006e23a6 READ FUN_006db640
0076233a WRITE FUN_00762228
007a932e READ FUN_007a9278
007a8f86 READ FUN_007a8f74
007a8fc4 WRITE FUN_007a8f74
007984fe READ FUN_0079847c
00768b00 WRITE FUN_00768798
006b6206 READ FUN_006b6018
006b7342 READ FUN_006b6018
