# References to 010339ac
007a7df0 WRITE FUN_007a7d88
0076823e WRITE FUN_00767f5c
0064ca08 WRITE FUN_0064b17c
0064ca00 PARAM FUN_0064b17c
007679fe READ FUN_0076758c
006e2318 WRITE FUN_006db640
006e2310 PARAM FUN_006db640
006e2378 WRITE FUN_006db640
006e2370 PARAM FUN_006db640
006e23d8 WRITE FUN_006db640
006e23d0 PARAM FUN_006db640
00762330 WRITE FUN_00762228
007a92d6 READ FUN_007a9278
007a92de WRITE FUN_007a9278
007a8f8c READ FUN_007a8f74
00768ac0 WRITE FUN_00768798
006b6214 READ FUN_006b6018
